,Fiyat,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Toplam Tramer Tutarı
0,305000,25,72,202,2011,1,0,1598,105,215,0.0
1,95000,20,38,12,2005,2,0,1149,75,275,0.0
2,430000,6,50,117,2016,1,2,1499,120,152,2500.0
3,320000,8,103,148,2014,1,1,1582,128,128,7000.0
4,418000,7,37,220,2018,2,1,1597,125,41,0.0
5,395000,7,37,219,2017,2,1,1597,125,127,0.0
6,149500,25,74,100,2005,2,0,1390,75,186,1541.0
7,38500,12,86,107,2000,2,0,1500,70,200,0.0
8,395000,25,53,202,2016,1,0,1598,110,73,0.0
9,275500,5,45,74,2022,0,0,1201,75,0,0.0
10,257000,25,56,205,2012,1,2,1598,105,260,1900.0
11,207000,25,53,207,2012,1,0,1598,90,297,5100.0
12,147000,17,21,37,2005,1,0,1248,90,270,730000.0
13,332000,24,40,176,2018,2,0,1598,132,54,6600.0
14,148500,8,102,13,2014,0,0,1248,85,120,0.0
15,110000,5,76,290,2008,1,0,1248,75,242,0.0
16,165000,18,8,171,2008,1,0,1560,112,244,0.0
17,1125000,26,84,235,2017,1,1,1801,200,159,0.0
18,45500,20,80,82,1993,2,0,1390,72,237,0.0
19,339900,17,55,189,2014,0,1,1598,170,165,0.0
20,848000,25,20,242,2017,1,2,1968,240,86,13000.0
21,688000,1,9,262,2014,1,2,1801,200,198,0.0
22,108000,5,62,45,2012,1,0,1248,95,269,0.0
23,111750,8,15,43,2001,2,1,1341,86,119,0.0
24,225700,5,45,51,2016,1,0,1248,95,144,9793.0
25,93000,25,25,152,1999,2,0,1595,101,360,0.0
26,58500,23,43,296,1996,2,0,1581,83,85,0.0
27,221000,20,38,132,2018,1,0,1461,90,120,0.0
28,208000,17,21,157,2017,2,0,1598,115,65,0.0
29,383000,25,53,28,2014,0,2,1197,105,43,2500.0
30,335000,25,90,99,2011,0,2,1390,160,157,0.0
31,189500,1,5,255,2007,1,0,1995,143,380,0.0
32,149500,0,12,277,2008,0,0,1595,102,334,0.0
33,267700,5,45,52,2019,1,0,1248,95,95,0.0
34,140000,6,48,86,2012,1,0,1398,70,250,0.0
35,235000,24,40,150,2009,0,0,1598,124,63,0.0
36,146000,17,21,39,2008,1,0,1248,90,261,8000.0
37,390000,1,5,254,2012,0,1,1598,136,180,0.0
38,620000,25,73,206,2015,1,2,1401,125,190,0.0
39,127500,6,48,61,2004,0,0,1388,80,152,0.0
40,50000,20,78,301,1993,2,0,1397,72,11,0.0
41,112000,20,93,123,2007,1,0,1461,85,299,5000.0
42,216500,20,93,127,2016,1,0,1401,100,150,0.0
43,278500,20,49,132,2016,1,0,1461,90,90,0.0
44,212500,17,21,38,2013,1,0,1248,95,175,0.0
