,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
0,İstanbul,20,35,1890000,107,70,3,8,8
1,İstanbul,20,142,1310000,120,105,5,0,19
2,İstanbul,7,72,900000,75,68,3,8,13
3,İstanbul,9,2,1575000,200,185,5,2,13
4,İstanbul,15,106,775000,100,90,3,5,12
5,İstanbul,26,109,1500000,115,90,3,5,11
6,İstanbul,26,82,4000000,275,250,10,5,24
7,İstanbul,22,62,1400000,124,80,3,6,14
8,İstanbul,6,0,760000,155,140,5,5,12
9,İstanbul,25,137,495000,125,110,3,6,25
10,İstanbul,31,102,1200000,165,140,6,7,27
11,İstanbul,31,63,455000,55,45,1,7,19
12,İstanbul,28,21,575000,80,70,3,8,0
13,İstanbul,2,122,7000000,130,110,5,0,14
14,İstanbul,7,24,1950000,90,80,3,2,16
15,İstanbul,26,133,761000000,900,800,17,5,23
16,İstanbul,15,106,550000,85,75,3,8,19
17,İstanbul,1,39,745000,86,77,3,8,25
18,İstanbul,23,50,620000,90,80,3,8,25
19,İstanbul,15,52,8500000,390,235,8,0,0
20,İstanbul,13,98,759000,120,110,3,8,12
21,İstanbul,14,19,580000,74,42,1,8,15
22,İstanbul,31,141,675000,92,72,3,0,13
23,İstanbul,14,120,559000,120,100,3,6,25
24,İstanbul,23,140,720000,110,85,3,2,0
25,İstanbul,23,33,2250000,180,160,6,8,12
26,İstanbul,34,84,6500000,228,227,6,5,24
27,İstanbul,19,99,4250000,255,245,10,3,17
28,İstanbul,24,42,540000,90,75,3,2,20
29,İstanbul,0,8,715000,145,135,3,8,7
30,İstanbul,9,35,350000,80,75,1,0,14
31,İstanbul,3,117,980000,95,85,3,0,25
32,İstanbul,7,72,900000,75,68,3,8,13
33,İstanbul,13,44,540000,85,75,3,8,25
34,İstanbul,3,118,1400000,165,155,5,0,13
35,İstanbul,10,29,11050000,395,394,0,5,20
36,İstanbul,11,7,17500000,145,75,15,5,23
37,İstanbul,24,42,775000,95,85,3,6,7
38,İstanbul,24,42,778000,95,85,3,8,11
39,İstanbul,1,146,600000,55,50,1,0,19
40,İstanbul,6,0,600000,125,115,3,5,7
41,İstanbul,23,22,775000,90,80,3,5,0
42,İstanbul,33,26,895000,80,60,3,5,25
43,İstanbul,22,95,895000,160,150,6,4,11
44,İstanbul,9,35,429999,105,90,3,0,0
45,İstanbul,1,39,850000,95,90,3,8,25
46,İstanbul,9,35,800000,125,105,3,8,0
47,İstanbul,23,50,768000,90,80,3,2,0
48,İstanbul,26,75,350000,100,95,3,2,23
49,İstanbul,7,72,920000,75,68,3,8,16
50,İstanbul,23,33,900000,50,45,1,4,20
51,İstanbul,23,33,1720000,240,215,9,0,13
52,İstanbul,33,35,1450000,167,147,5,8,12
53,İstanbul,13,104,315000,100,90,3,5,14
54,İstanbul,29,31,1750000,120,85,5,0,7
55,İstanbul,26,13,3650000,82,55,1,7,16
56,İstanbul,30,73,15000000,246,200,7,8,10
